,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
君がいない,君がいない,失恋,芸術,全貌が明かされない,歌いまわし,言葉のリズムと温度感,心を撃ち抜く,SixTONESにしかできない表現,リスナーの感性,まがまがしい,混沌,リアル,トランス,不謹慎,ラップチューン,落ちぶれていく,6人の掛け合い,湿っぽさがない,,,,,,,,,,,,,,
音色,絆,出会い,感謝,喜び,仲間,音色,結成10年目,アニバーサリー,ストリングス,ホーン,ハーモニー,アカペラ,包容力,グルーヴィー,ポップ,カラフル,エモーショナル,ハートウォーミング,未来,SAEKI youthK,メンバーカラー,信頼関係,幸福感,,,,,,,,,
GONG,ミクスチャーロック,ハードエッヂ,歪んだギター,4つ打ちビート,シャガれたボーカル,雄叫び,ボーカルリレー,阿吽の呼吸,アジテーション,リズミカルフロウ,逆境,不屈,戦い,泥臭さ,諦めない,loser vs ruler,ハングリー精神,挑戦,再生,成長,仲間,絆,ファイトソング,勇気,活力,ロックスピリット,衝動,パワー,SixTONES,新たな挑戦,,
ここに帰ってきて,愛する人との別れ,愛情,感謝,バラード,ピアノ,ストリングス,「ここに帰ってきて」,リフレイン,6人の歌声,繊細,表現力,喪失感,切なさ,シンプル,調和,壮大,儚さ,人間の内面,心癒される,歌唱力,パフォーマンス力,前向き,,,,,,,,,,
THE BALLERS,俺らが最強,激熱アンセム,高揚感,チーム力,ラップリレー,パッション溢れるパフォーマンス,ストレートな歌詞,ノリやすいリズム,ビルドアップ,モチベーション向上,自信,ポジティブ,成功者,BALLERS,松村北斗の力強いソロパート,バスケットボール,SixTONES沼の入口,代表曲,,,,,,,,,,,,,,
バリア,ファンキー,バンドサウンド,ミクスチャーロック,骨太,ゴージャス,疾走感,ダンサブル,マイクリレー,一体感,バリア,守る,信念,信頼関係,包容力,暖かい,番犬,Nananana,キャッチー,森本慎太郎,松村北斗,歌声の緩急,,,,,,,,,,,
Strawberry Breakfast -Live on MTV Unplugged-,SixTONES,Strawberry Breakfast,ライブ,MTV Unplugged,アコースティック,貴重,音源,Billboard Live YOKOHAMA,,,,,,,,,,,,,,,,,,,,,,,,
STAMP IT,かっこよさ,色気,メンバーひとりひとり,ソロパート,歌声,艷やか,エキゾチックなサウンド,官能的,世界観,声,サウンド,構成,歌詞,盛り上がる,クセ,MiNE,Atsushi Shimada,3rdアルバムコンセプト,,,,,,,,,,,,,,
僕が僕じゃないみたいだ (Dramatic Rearrange),SixTONES,僕が僕じゃないみたいだ,Dramatic Rearrange,リアレンジ,ピアノ,ストリングス,チェロ,ドラマチック,繊細,低音,重厚,アップデート,,,,,,,,,,,,,,,,,,,,
シアター,ロック,グルーヴ,カオス,映画,ファンク,ジャズ,R＆B,ヒップホップ,重厚,躍動感,バンドサウンド,SixTONESらしさ,ボーカル,ワイルド,スリル,英語と日本語,リリック,語感,サビでの高揚,官能的,ダンサブル,,,,,,,,,,,
オンガク,音楽への愛,音楽への感謝,POP,ポップチューン,ミディアムチューン,音楽LOVEソング,音楽への思い,アーティストとしての決意,邁進,可能性,爽快感,突き抜けるメロディ,京本の美しいロングトーン,身体を揺らしたくなるトラック,前向きな思い,ボーカル,明日へ,強く心に残る,,,,,,,,,,,,,,
セピア,セピア,失恋ソング,エモーショナル,感傷的,思い出,後悔,過去との決別,ストリングス,シンセサイザー,ギター,有機的な響き,4つ打ちビート,ジェシーのフェイク,ロマンティック,優美,色褪せない,,,,,,,,,,,,,,,,
共鳴 -Brave Marching Band Remix-,共鳴,Brave Marching Band,Remix,ダンサブル,攻撃的,アグレッシブ,厚み,本能を刺激,胸を熱くする,,,,,,,,,,,,,,,,,,,,,,,
FIREWORKS,FIREWORKS,SixTONES,熱帯夜,花火,Wild & Sexy,ラテン,アッパーチューン,サマーチューン,フォルクローレ,熱気,エキゾチック,刺激,恋,ドープ,攻撃的,官能,ラップ,HIPHOP,夏,危うい恋愛,セクシー,グルーヴ,艶,ボーカル,ライブ,,,,,,,
Tu-tu-lu,失恋,ボサノバ,HIPHOP,チル,爽やか,軽やか,アコースティックギター,オーガニックサウンド,懐かしさ,切なさ,淡々としたボーカル,,,,,,,,,,,,,,,,,,,,,
ガラス花,アイナ・ジ・エンド,松村北斗,書き下ろし,バラード,繊細な詞世界,孤独,不条理,透明,真っ透明,人間味,少年性,まっすぐな歌声,切ない,ギターアルペジオ,ストリングス,アイナのコーラス,余韻,キリエのうた,,,,,,,,,,,,,,
MUSIC IN ME,日本語ラップ調,髙地優吾,ソロ曲,感謝,ポジティブ,ハッピー,爽やか,等身大,パーソナル,メッセージ,リアルな思い,新たな表現,,,,,,,,,,,,,,,,,,,,
Never Ending Love,ジェシーソロ,初ソロ曲,堂本剛提供,憧れ,夢が叶う,壮大,ピアノ始まり,バラードからの変化,変態（良い意味で）,剛くんワールド,幻想的,物悲しい旋律,繊細なボーカル,囁く,ポエトリーリーディング,伸びやか,雄大,ビブラート,熱を帯びる歌声,胸に迫る,愛,人生,一筋縄ではいかない,パブリックイメージを覆す,,,,,,,,
We can't go back,We can't go back,京本大我,自作曲,7年前,ロックバラード,ラブソング,戻れない関係,君,純粋な想い,We can't go backからCan't we go backへ,ギター,ストリングス,世界観,熱量,デモ,ソロ楽曲,初の音源化,失恋ソングではない,,,,,,,,,,,,,,
Love is…,Love is…,森本慎太郎,ソロ曲,平井 大,ラブソング,日常,愛,優しく甘い歌声,チル,ギター,ストレートな歌詞,温かい,繰り返し聞きたくなる,念願の初タッグ,,,,,,,,,,,,,,,,,,
Sorry,田中樹,ソロ曲,R&B,ストーリー性のある歌詞,未練,不甲斐なさ,田中樹作詞,ラップパート,多彩なボーカル,ハスキーボイス,表現へのこだわり,重厚なサウンド,ドープ,メロウ,ビート,元SixTONESデモ曲,ソロ化,,,,,,,,,,,,,,,
こっから -Old School Breakin' Remix-,SixTONES,こっから,リミックス,Old School Breakin' Remix,Old School,ヒップホップ,Break Beats,再構築,スクラッチ,DJ Mass MAD Izm*,ブレイクダンス,アレンジ,エモーショナルな情熱,,,,,,,,,,,,,,,,,,,
JAPONICA STYLE,JAPONICA STYLE,JAPONICA,日本趣味,欧米視点,イメージ,伝統的な美,エッセンス,解釈,アップデート,挑戦,和のエッセンス,日本らしさ,言葉の語感,遊び,,,,,,,,,,,,,,,,,,
NAVIGATOR（H ZETTRIO Crossover Rearrange）,SixTONES,NAVIGATOR,H ZETTRIO Crossover Rearrange,H ZETTRIO,ピアノトリオ,リアレンジ,ピアノ・ジャズ・アレンジ,ピアノジャズナンバー,激しくも繊細,新しい解釈,新しい風,ハードなダンス・ロック,音数が多い,音数が少ない,,,,,,,,,,,,,,,,,,
